2016-03-19 12:34:14,901 [Worker-33] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ram:ram:0.0.1-SNAPSHOT @ C:\Users\Madan Acharya\Desktop\Angular\ram\pom.xml.
2016-03-19 12:34:18,306 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ram/src
2016-03-19 12:34:18,308 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ram/src/test/java because it overlaps with /ram/src
2016-03-19 12:34:19,499 [Worker-33] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-03-19 12:34:19,678 [Worker-39] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ram:ram:0.0.1-SNAPSHOT @ C:\Users\Madan Acharya\Desktop\Angular\ram\pom.xml.
2016-03-19 12:34:19,898 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:34:19,920 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\main\resources
2016-03-19 12:34:19,924 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:34:19,938 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\test\resources
2016-03-19 12:34:20,132 [Worker-33] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ram:ram:0.0.1-SNAPSHOT @ C:\Users\Madan Acharya\Desktop\Angular\ram\pom.xml.
2016-03-19 12:34:20,362 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ram/src
2016-03-19 12:34:20,363 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ram/src/test/java because it overlaps with /ram/src
2016-03-19 12:34:21,335 [Worker-38] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ram:ram:0.0.1-SNAPSHOT @ C:\Users\Madan Acharya\Desktop\Angular\ram\pom.xml.
2016-03-19 12:34:21,442 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:34:21,463 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\main\resources
2016-03-19 12:34:21,466 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:34:21,492 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\test\resources
2016-03-19 12:34:21,493 [Worker-38] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ram
2016-03-19 12:34:21,494 [Worker-38] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ram
2016-03-19 12:34:21,532 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
